Names	total	elements
		WNK lysine deficient protein kinase 3
		adherens junctions associated protein 1
		protein tyrosine phosphatase, receptor type, J
		mitogen-activated protein kinase 1
		fibronectin type III domain containing 3A
		teneurin transmembrane protein 1
		stanniocalcin 1
		RAB11 family interacting protein 1 (class I)
		RGM domain family, member B
		dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
		family with sequence similarity 168, member A
		mesoderm induction early response 1, family member 3
		GRB2-associated binding protein 1
		Wolf-Hirschhorn syndrome candidate 1-like 1
		speckle-type POZ protein-like
		pleiomorphic adenoma gene 1
		nanos homolog 1 (Drosophila)
		sestrin 3
		ets variant 1
		amyloid beta (A4) precursor protein
		trinucleotide repeat containing 6B
		cullin 3
		sodium channel, voltage-gated, type II, alpha subunit
		teashirt zinc finger homeobox 3
		FAT atypical cadherin 3
		tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
		phosphatase and tensin homolog
		forkhead box F1
		argonaute RISC catalytic component 3
		bicaudal C homolog 1 (Drosophila)
		docking protein 6
		runt-related transcription factor 1
		KIAA0232
		ADP-ribosylation factor-like 4C
		mitogen-activated protein kinase kinase kinase 2
		dihydropyrimidinase-like 5
		protein phosphatase 2, regulatory subunit B, alpha
		MCF.2 cell line derived transforming sequence-like
		peroxisome proliferator-activated receptor gamma, coactivator 1 beta
		zinc finger protein 704
		bicaudal D homolog 2 (Drosophila)
		IKAROS family zinc finger 4 (Eos)
		sterile alpha motif domain containing 12
		gap junction protein, alpha 1, 43kDa
		transforming growth factor, beta receptor II (70/80kDa)
		solute carrier family 30 (zinc transporter), member 7
		basic leucine zipper and W2 domains 1
		shisa family member 6
		ankyrin repeat domain 17
		PBX/knotted 1 homeobox 1
		v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog
		discoidin, CUB and LCCL domain containing 2
		zinc finger, AN1-type domain 4
		zinc finger protein 800
		F-box and WD repeat domain containing 11
		Rho GTPase activating protein 26
		centrosomal protein 170kDa
		VANGL planar cell polarity protein 1
		mitogen-activated protein kinase kinase kinase 9
		cyclin G2
		GLTSCR1-like
		suppressor of cytokine signaling 6
		protein phosphatase 4, regulatory subunit 1-like
		mediator complex subunit 12-like
		E2F transcription factor 3
		chromosome 6 open reading frame 62
		itchy E3 ubiquitin protein ligase
		tumor necrosis factor (ligand) superfamily, member 11
		AT rich interactive domain 4B (RBP1-like)
		purine-rich element binding protein A
		unc-80 homolog (C. elegans)
		cAMP responsive element binding protein 1
		dual serine/threonine and tyrosine protein kinase
		Rap guanine nucleotide exchange factor (GEF) 2
		acyl-CoA synthetase long-chain family member 4
		WD repeat and FYVE domain containing 2
		synovial sarcoma, X breakpoint 2 interacting protein
		EPH receptor A5
		ephrin-B2
		SMAD family member 5
		SH3 and PX domains 2A
		tripartite motif containing 71, E3 ubiquitin protein ligase
		Lipid phosphate phosphatase-related protein type 5
		DAZ associated protein 2
		Kruppel-like factor 3 (basic)
		putative homeodomain transcription factor 2
		cyclin T2
		transcription factor 21
		ligand dependent nuclear receptor corepressor
		LysM, putative peptidoglycan-binding, domain containing 3
		C2 calcium-dependent domain containing 2
		tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
		transmembrane and coiled-coil domain family 1
		LIM domain only 3 (rhombotin-like 2)
		transmembrane BAX inhibitor motif containing 6
		U2AF homology motif (UHM) kinase 1
		ring finger protein 38
		zinc finger protein 532
		AF4/FMR2 family, member 4
		zinc finger and BTB domain containing 37
		SMAD family member 1
		metastasis suppressor 1-like
		mitogen-activated protein kinase kinase kinase 8
		human immunodeficiency virus type I enhancer binding protein 3
		parathyroid hormone-like hormone
		dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
		eukaryotic translation initiation factor 4 gamma, 2
		sine oculis binding protein homolog (Drosophila)
		nucleolar protein 4
		PHD finger protein 6
		zinc finger protein 362
		gamma-aminobutyric acid (GABA) B receptor, 2
		ELAV like neuron-specific RNA binding protein 2
		tripartite motif containing 44
		INO80 complex subunit D
		OTU domain containing 3
		protein phosphatase 3, regulatory subunit B, alpha
		ankyrin repeat domain 12
		zinc finger and BTB domain containing 18
		salt-inducible kinase 2
		epidermal growth factor receptor
		zinc finger protein 367
		Ras-related GTP binding D
		ankyrin repeat domain 50
		Rho guanine nucleotide exchange factor (GEF) 3
		acyl-CoA binding domain containing 5
		FAT atypical cadherin 4
		integrin, beta 8
		synapse associated protein 1
		Kruppel-like factor 9
		retinoic acid receptor, beta
		ral guanine nucleotide dissociation stimulator-like 1
		family with sequence similarity 60, member A
		ankyrin repeat domain 28
		GID complex subunit 4
		DIP2 disco-interacting protein 2 homolog C (Drosophila)
		fidgetin
		ataxin 1
		importin 7
		platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)
		protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)
		basonuclin 2
		trinucleotide repeat containing 6A
