Names	total	elements
		ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited)
		G protein-coupled receptor 183
		reticulocalbin 2, EF-hand calcium binding domain
		cadherin 20, type 2
		zinc finger, AN1-type domain 3
		transcription factor AP-4 (activating enhancer binding protein 4)
		DDB1 and CUL4 associated factor 7
		Nedd4 family interacting protein 1
		Jun dimerization protein 2
		SLIT and NTRK-like family, member 4
		heat shock transcription factor 2
		ZFP36 ring finger protein-like 2
		spire-type actin nucleation factor 1
		GA binding protein transcription factor, alpha subunit 60kDa
		adrenoceptor beta 1
		phospholipase A2, group IVA (cytosolic, calcium-dependent)
		transducin (beta)-like 1 X-linked receptor 1
		pleckstrin homology domain containing, family G (with RhoGef domain) member 3
		POU class 2 homeobox 1
		myosin IE
		RAB18, member RAS oncogene family
		protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
		kinesin heavy chain member 2A
		CCR4-NOT transcription complex, subunit 1
		THO complex 2
		Ral GEF with PH domain and SH3 binding motif 2
		collagen, type V, alpha 2
		matrilin 2
		MAP7 domain containing 1
		chromodomain protein, Y-like
		LIM homeobox 2
		cullin-associated and neddylation-dissociated 1
		deleted in azoospermia 1
		selenophosphate synthetase 1
		transmembrane protein 163
		dystrophin related protein 2
		malectin
		Nik related kinase
		myelin transcription factor 1
		ankyrin 2, neuronal
		CCR4 carbon catabolite repression 4-like (S. cerevisiae)
		mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A
		zinc and ring finger 2
		glutamate-cysteine ligase, catalytic subunit
		family with sequence similarity 196, member A
		abhydrolase domain containing 17B
		poly(A) binding protein, cytoplasmic 1-like 2B
		synovial sarcoma translocation, chromosome 18
		high mobility group nucleosomal binding domain 2
		intermediate filament family orphan 2
		zinc finger protein 574
		karyopherin alpha 6 (importin alpha 7)
		phosducin-like
		deleted in azoospermia-like
		forkhead box O1
		DIP2 disco-interacting protein 2 homolog B (Drosophila)
		zinc finger protein 654
		rhophilin, Rho GTPase binding protein 2
		G protein-coupled receptor 85
		epidermal growth factor receptor pathway substrate 8
		zinc finger E-box binding homeobox 1
		FYVE, RhoGEF and PH domain containing 6
		epithelial membrane protein 1
		met proto-oncogene
		elongation factor, RNA polymerase II, 2
		chromosome 19 open reading frame 73
		calcium/calmodulin-dependent serine protein kinase (MAGUK family)
		transmembrane and tetratricopeptide repeat containing 3
		akirin 1
		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)
		filamin A interacting protein 1-like
		cysteine-rich secretory protein LCCL domain containing 1
		TATA element modulatory factor 1
		tight junction protein 1
		zinc finger and BTB domain containing 5
		zinc finger CCCH-type containing 12A
		nerve growth factor receptor (TNFRSF16) associated protein 1
		cullin 5
		metaxin 3
		Ral GEF with PH domain and SH3 binding motif 1
		histone deacetylase 9
		titin
		tRNA aspartic acid methyltransferase 1
		nuclear factor, erythroid 2-like 2
		chromobox homolog 4
		transportin 1
		signal transducer and activator of transcription 6, interleukin-4 induced
		CGG triplet repeat binding protein 1
		impact RWD domain protein
		acyl-CoA binding domain containing 3
		calcium channel, voltage-dependent, alpha 2/delta subunit 1
		ArfGAP with FG repeats 1
		GATA binding protein 3
		SRY (sex determining region Y)-box 11
		secreted frizzled-related protein 1
		G-rich RNA sequence binding factor 1
		agrin
		5'-nucleotidase domain containing 1
		kinesin family member 3A
		ADAMTS-like 3
		heterogeneous nuclear ribonucleoprotein C (C1/C2)
		inositol 1,4,5-trisphosphate receptor interacting protein-like 1
		sprouty homolog 3 (Drosophila)
		caveolin 2
		SIX homeobox 4
		Kruppel-like factor 8
		transmembrane protein 55A
		uridine-cytidine kinase 2
		sortilin-related VPS10 domain containing receptor 3
		phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha
		calcium channel, voltage-dependent, beta 2 subunit
		paralemmin 2
		NHL repeat containing 2
		thymine-DNA glycosylase
		cadherin 2, type 1, N-cadherin (neuronal)
		TMEM189-UBE2V1 readthrough
		Janus kinase and microtubule interacting protein 3
		chromosome 5 open reading frame 24
		BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa
		mitogen-activated protein kinase kinase kinase 4
		ankyrin repeat domain 11
		eukaryotic translation initiation factor 5
		musashi RNA-binding protein 1
		PHD finger protein 20-like 1
		stannin
		ubiquitin-conjugating enzyme E2D 3
		DNA cross-link repair 1C
		zinc finger and BTB domain containing 34
		leucine rich repeat neuronal 1
		growth differentiation factor 10
		dedicator of cytokinesis 3
		dipeptidyl-peptidase 8
		SUMO1/sentrin specific peptidase 7
		DNA (cytosine-5-)-methyltransferase 3 alpha
		G protein-coupled receptor 174
		myocyte enhancer factor 2D
		pappalysin 2
		protein phosphatase 2, regulatory subunit B, delta
		neuronal calcium sensor 1
		actin filament associated protein 1
		ribonuclease P/MRP 40kDa subunit
		phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta
		alpha thalassemia/mental retardation syndrome X-linked
		F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase
		glutamine and serine rich 1
		amyotrophic lateral sclerosis 2 (juvenile)
		anoctamin 1, calcium activated chloride channel
		protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4
		phosphatidylinositol-4-phosphate 5-kinase, type I, gamma
		solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3
		calcium/calmodulin-dependent protein kinase kinase 2, beta
		MOB family member 4, phocein
		kinase suppressor of ras 1
		cAMP-regulated phosphoprotein, 21kDa
		XK, Kell blood group complex subunit-related family, member 6
		SON DNA binding protein
		fragile X mental retardation 1
		sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)
		enabled homolog (Drosophila)
		endothelin converting enzyme 1
		ATPase, Na+/K+ transporting, beta 2 polypeptide
		sonic hedgehog
		prefoldin subunit 6
		heterogeneous nuclear ribonucleoprotein F
		SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
		MON2 homolog (S. cerevisiae)
		microphthalmia-associated transcription factor
		CCAAT/enhancer binding protein (C/EBP), alpha
		progesterone receptor membrane component 2
		single-minded homolog 1 (Drosophila)
		patched 1
		collagen, type XI, alpha 1
		fibronectin leucine rich transmembrane protein 3
		nuclear receptor subfamily 1, group D, member 2
		cadherin 11, type 2, OB-cadherin (osteoblast)
		TGF-beta activated kinase 1/MAP3K7 binding protein 2
		ubiquitin-conjugating enzyme E2 variant 1
		lemur tyrosine kinase 2
		ATPase family, AAA domain containing 2B
hsa-miR-758-3p	155	leucine rich adaptor protein 1
		solute carrier family 46 (folate transporter), member 1
		mitochondrial ribosomal protein L3
		orthodenticle homeobox 1
		notch 2
		myosin, heavy chain 9, non-muscle
		mitogen-activated protein kinase kinase 1
		chromobox homolog 5
		trans-golgi network vesicle protein 23 homolog A (S. cerevisiae)
		cyclin M4
		angiopoietin 2
		heat shock 70kDa protein 4-like
		transmembrane protein with metallophosphoesterase domain
		phospholipase C-like 1
		FtsJ homolog 3 (E. coli)
		UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)
		centromere protein P
		pyroglutamyl-peptidase I
		oxysterol binding protein-like 10
		vascular endothelial zinc finger 1
		SH2 domain containing 7
		zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 1
		kelch repeat and BTB (POZ) domain containing 13
		RWD domain containing 4
		F-box and leucine-rich repeat protein 7
		ectonucleoside triphosphate diphosphohydrolase 7
		lin-7 homolog A (C. elegans)
		RAD51 recombinase
		InaD-like (Drosophila)
		WW and C2 domain containing 1
		coiled-coil domain containing 79
		kinesin family member 24
		nucleolar complex associated 3 homolog (S. cerevisiae)
		caspase 3, apoptosis-related cysteine peptidase
		transcription elongation factor A (SII) N-terminal and central domain containing
		nucleoporin 37kDa
		DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B
		core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1
		ets variant 6
		chromosome 1 open reading frame 198
		progesterone receptor membrane component 1
		transcription factor A, mitochondrial
		MYC binding protein
		spermatogenesis associated 17
		chromosome 9 open reading frame 38
		Sad1 and UNC84 domain containing 2
		serine/threonine kinase 40
		Rho GTPase activating protein 36
		protein kinase, cAMP-dependent, regulatory, type II, beta
		heterogeneous nuclear ribonucleoprotein A0
		mitogen-activated protein kinase kinase kinase kinase 3
		exportin 4
		Yip1 domain family, member 4
		VAMP (vesicle-associated membrane protein)-associated protein B and C
		zinc finger protein 609
		glial fibrillary acidic protein
		RNA binding protein, fox-1 homolog (C. elegans) 3
		cadherin-related family member 2
		solute carrier family 12 (sodium/chloride transporter), member 3
		chromosome 2 open reading frame 91
		family with sequence similarity 126, member A
		transmembrane protein 229B
		collagen, type IV, alpha 4
		abhydrolase domain containing 10
		calcitonin receptor
		ELL associated factor 1
		isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae)
		Aminopeptidase Q
		WD repeat domain 31
		hypermethylated in cancer 2
		ras homolog family member Q
		fibroblast growth factor binding protein 3
		N(alpha)-acetyltransferase 40, NatD catalytic subunit
		chromosome 5 open reading frame 15
		solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16
		CDNA: FLJ23120 fis, clone LNG07989; HCG1987724; Uncharacterized protein
		cytochrome P450, family 7, subfamily B, polypeptide 1
		cyclin-dependent kinase 13
		cyclin N-terminal domain containing 1
		serine palmitoyltransferase, long chain base subunit 2
		doublecortin domain containing 2B
		ubiquitin specific peptidase 15
		adaptor-related protein complex 3, sigma 2 subunit
		UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9
		succinate receptor 1
		NOP2 nucleolar protein
		nuclear factor, erythroid 2-like 3
		family with sequence similarity 161, member A
		SEC16 homolog B (S. cerevisiae)
		golgi phosphoprotein 3 (coat-protein)
		cyclin G1
		sprouty homolog 1, antagonist of FGF signaling (Drosophila)
		protein phosphatase 2, regulatory subunit B, gamma
		angiogenin, ribonuclease, RNase A family, 5
		potassium channel, subfamily V, member 1
		KH-type splicing regulatory protein
		integrin-linked kinase
		sorting nexin 11
		leucine-rich repeat, immunoglobulin-like and transmembrane domains 3
		matrix extracellular phosphoglycoprotein
		synaptogyrin 2
		surfeit 2
		armadillo repeat containing 10
		TGF-beta activated kinase 1/MAP3K7 binding protein 1
		melanoma inhibitory activity family, member 3
		HCG1786899; PRO2610; Uncharacterized protein
		WD repeat domain 41
		fibrosin-like 1
		ectonucleotide pyrophosphatase/phosphodiesterase 6
		phosphoglucomutase 3
		cirrhosis, autosomal recessive 1A (cirhin)
		ST6 beta-galactosamide alpha-2,6-sialyltranferase 2
		vacuole membrane protein 1
		glutathione S-transferase omega 2
		MAD2 mitotic arrest deficient-like 1 (yeast)
		zinc finger protein 613
		proline-serine-threonine phosphatase interacting protein 1
		solute carrier family 14 (urea transporter), member 1
		5-hydroxymethylcytosine (hmC) binding, ES cell-specific
		cut-like homeobox 2
		chromosome 3 open reading frame 14
		phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha
		minichromosome maintenance domain containing 2
		C15orf38-AP3S2 readthrough
		chromosome 1 open reading frame 21
		zinc finger protein 772
		zinc finger CCCH-type containing 14
		reelin
		benzodiazapine receptor (peripheral) associated protein 1
		syntaxin binding protein 1
		protein phosphatase 1, regulatory subunit 7
		phosphatidic acid phosphatase type 2B
		villin 1
		APOBEC1 complementation factor
		serine/arginine repetitive matrix 4
		PHD finger protein 15
		MOB kinase activator 3B
		T-box 4
		high mobility group AT-hook 1
		F-box and leucine-rich repeat protein 20
		bone morphogenetic protein 7
		aspartyl-tRNA synthetase 2, mitochondrial
		tumor protein p53 inducible protein 11
		septin 8
		RAB7, member RAS oncogene family-like 1
		mirror-image polydactyly 1
		LYR motif containing 2
		signal transducer and activator of transcription 5B
		destrin (actin depolymerizing factor)
		5'-nucleotidase, cytosolic IA
		paired box 6
		calcium/calmodulin-dependent protein kinase ID
		G protein-coupled receptor 61
		NOP2/Sun domain family, member 3
		gap junction protein, alpha 9, 59kDa
